business_id,city,location,business_type,business_description,year_started,years_operating,owner_gender,edu_level,annual_sales_fcfa,monthly_sales_fcfa,annual_costs_fcfa,monthly_profit_fcfa,electricity_problems,water_problems,telecom_problems,finance_obstacle_rating,finance_access,supplier_issues,local_sales_pct,repeat_customer_pct,starting_capital_fcfa,avg_obstacle_severity,reason_No_perceived_benefit,reason_Too_costly,reason_Too_complex,reason_Lack_of_info
CMR2006_93726,Douala,Urban,Food_Catering,Rsetauration,2001,5,Female,None,0,0,30000,-2500,No,Yes,No,4,No,No,100,60.0,,1.8,,,,
CMR2006_93727,Douala,Urban,Retail_Trade,Boisson,1972,34,Female,Primary,0,0,0,0,Yes,No,No,4,No,No,100,80.0,,3.54,No,,,
CMR2006_93728,Douala,Urban,Manufacturing,Fabrication Meuble,2003,3,Male,None,100000,8333,40000,5000,Yes,No,No,4,No,No,50,20.0,500,2.08,,,,
CMR2006_93729,Douala,Urban,Food_Catering,Coiffeur,1991,15,Male,None,30000,2500,20000,833,Yes,No,No,2,Yes,No,100,0.0,500,2.77,,,,
CMR2006_93730,Douala,Urban,Manufacturing,Fabrication Carton,1996,10,Male,None,2500000,208333,600000,158333,Yes,No,No,2,Yes,Yes,0,20.0,30000,2.31,,,,
CMR2006_93731,Douala,Urban,Retail_Trade,Alimentaire,2002,4,Male,None,2500,208,5000,-208,No,No,No,3,No,Yes,70,0.0,2000,1.23,,,,
CMR2006_93732,Douala,Urban,Food_Catering,Restauration,2001,5,Male,None,120000,10000,200000,-6667,Yes,Yes,No,4,No,Yes,90,30.0,,3.0,,,,
CMR2006_93733,Douala,Urban,Retail_Trade,Comemrce General,1996,10,Female,None,50000,4167,150000,-8333,Yes,No,No,2,Yes,Yes,65,,,2.85,,,,
CMR2006_93734,Douala,Urban,Manufacturing,Fabrication Meubles,2002,4,Male,None,12000,1000,0,1000,Yes,No,No,1,Yes,Yes,50,,,2.31,,,,
CMR2006_93735,Douala,Urban,Food_Catering,Alimentation,1999,7,Male,Primary,12000,1000,30000,-1500,Yes,Yes,No,4,No,Yes,94,80.0,,2.62,,,,
CMR2006_93736,Douala,Urban,Retail_Trade,Commerce,1997,9,Female,None,12000,1000,,,Yes,No,No,1,Yes,Yes,100,0.0,,2.0,,,,
CMR2006_93737,Douala,Urban,Retail_Trade,Alimentaire,2003,3,Male,Other,360000,30000,0,30000,Yes,No,Yes,5,No,Yes,80,45.0,,2.92,,,,
CMR2006_93738,Douala,Urban,Manufacturing,Alimentaire,1995,11,Male,None,0,0,,,Yes,Yes,No,3,No,No,80,,,1.85,,,,
CMR2006_93739,Douala,Urban,Retail_Trade,Charbon,1997,9,Female,None,24000,2000,,,Yes,No,No,2,Yes,No,94,0.0,,2.08,,,,
CMR2006_93740,Douala,Urban,Retail_Trade,Commerce,2002,4,Female,,120000,10000,,,No,No,No,4,No,Yes,85,60.0,,2.77,,,,
CMR2006_93741,Douala,Urban,Manufacturing,Habillement,2000,6,Male,None,0,0,,,Yes,No,No,3,No,No,72,0.0,,1.69,,,,
CMR2006_93742,Douala,Urban,Retail_Trade,Alimentaire,1998,8,Female,,0,0,,,No,No,No,4,No,No,100,0.0,,1.85,,,,
CMR2006_93743,Douala,Urban,Food_Catering,Pressing Depot,2002,4,Male,Other,50000,4167,600000,-45833,Yes,No,No,4,No,Yes,90,80.0,,3.17,,,,
CMR2006_93744,Douala,Urban,Manufacturing,Habillement,2002,4,Female,None,0,0,175000,-14583,Yes,No,No,4,No,Yes,100,47.0,,2.23,,,,
CMR2006_93745,Douala,Urban,Manufacturing,Fabrication Meuble,2002,4,Male,Other,60000,5000,400000,-28333,No,No,No,3,No,Yes,0,80.0,,3.17,,,,
CMR2006_93746,Douala,Urban,Food_Catering,Coiffure,2002,4,Female,Other,30000,2500,64500,-2875,Yes,No,No,3,No,Yes,96,80.0,,2.75,,,,
CMR2006_93747,Douala,Urban,Manufacturing,Habillement,2005,1,Male,Other,24000,2000,0,2000,Yes,No,No,4,No,Yes,50,75.0,150000,3.17,,,,
CMR2006_93748,Douala,Urban,Retail_Trade,Quincaillerie,,,Male,Other,0,0,100000,-8333,No,No,No,4,No,Yes,95,60.0,,3.08,,,,
CMR2006_93749,Douala,Urban,Manufacturing,Alimentaire,2003,3,Female,Primary,0,0,0,0,Yes,Yes,No,4,No,No,0,80.0,,3.38,,,,
CMR2006_93750,Douala,Urban,Food_Catering,Cordonnerie,1987,19,Female,Primary,0,0,0,0,No,No,No,5,No,No,70,100.0,,3.09,,,,
CMR2006_93751,Douala,Urban,Manufacturing,Alimentaire,2004,2,Male,Secondary,500,42,40000,-3292,Yes,No,No,4,No,No,20,30.0,,2.69,,,,
CMR2006_93752,Douala,Urban,Manufacturing,Alimentaire,2003,3,Male,Technical,0,0,0,0,Yes,Yes,No,4,No,No,100,100.0,,2.77,,,,
CMR2006_93753,Douala,Urban,Food_Catering,Coiffure Homme,2005,1,Female,None,0,0,0,0,Yes,No,No,2,Yes,No,100,10.0,,1.69,,,,
CMR2006_93754,Douala,Urban,Manufacturing,Fabrication Meubles,1997,9,Female,None,0,0,0,0,Yes,No,No,4,No,Yes,40,60.0,,2.54,,,,
CMR2006_93755,Douala,Urban,Manufacturing,Couture Homme & Femm,2001,5,Female,None,0,0,0,0,Yes,No,No,2,Yes,Yes,90,100.0,,2.15,,,,
CMR2006_93756,Douala,Urban,Retail_Trade,Vente Detail Fruits,2000,6,Female,None,0,0,0,0,No,No,No,2,Yes,No,100,0.0,,1.38,,,,
CMR2006_93757,Douala,Urban,Retail_Trade,Produits Alimentaire,1996,10,Female,None,6000,500,10000,-333,Yes,No,No,2,Yes,Yes,100,100.0,,2.38,,,,
CMR2006_93758,Douala,Urban,Manufacturing,Sculpture Sur Bois,2000,6,Female,Primary,0,0,0,0,Yes,No,No,4,No,Yes,70,80.0,,2.45,,,,
CMR2006_93759,Douala,Urban,Food_Catering,Reparation Chaussure,1990,16,Female,Primary,0,0,0,0,Yes,No,No,4,No,Yes,100,60.0,,2.23,,,,
CMR2006_93760,Douala,Urban,Manufacturing,Fabrique Objet Rotin,1998,8,Female,None,0,0,40000,-3333,No,No,No,1,Yes,No,100,80.0,,1.15,,,,
CMR2006_93761,Douala,Urban,Retail_Trade,Vente Vetements Frip,2003,3,Female,None,0,0,0,0,No,No,No,4,No,No,100,75.0,,1.9,,,,
CMR2006_93762,Douala,Urban,Manufacturing,Confection Vetements,2000,6,Female,None,30000,2500,150000,-10000,Yes,No,No,3,No,Yes,100,75.0,,1.55,,,,
CMR2006_93763,Douala,Urban,Manufacturing,Fabric Prod Laitiers,2004,2,Male,None,0,0,55000,-4583,Yes,Yes,No,4,No,No,75,70.0,,2.22,,,,
CMR2006_93764,Douala,Urban,Manufacturing,Fabric Meubles,1998,8,Female,None,0,0,0,0,Yes,No,No,4,No,Yes,100,60.0,,2.67,No,,,
CMR2006_93765,Douala,Urban,Food_Catering,Transport Moto-Taxi,2003,3,Male,None,0,0,200000,-16667,No,No,No,4,No,No,100,50.0,,2.17,,,,
CMR2006_93766,Douala,Urban,Other,Telephonie,2003,3,Male,Other,5000,417,20000,-1250,Yes,No,Yes,3,No,Yes,95,95.0,,2.67,,,,
CMR2006_93767,Douala,Urban,Retail_Trade,Alimentaire,2004,2,Male,Other,120000,10000,350000,-19167,Yes,No,No,4,No,Yes,75,75.0,,3.33,,,,
